name,energy_kcal,protein_g,fat_g,carbohydrate_g,sugar_g
Ikan sunu,0.058479532163742694,0.016916666666666667,0.16634146341463416,0.42071881606765327,0.0529850746268656
Soto pekalongan,0.000760233918128655,0.07833333333333334,0.024878048780487803,0.0063424947145877385,0.0507462686567164
Marie duo,0.008771929824561403,0.0008333333333333334,0.01707317073170732,0.029598308668076112,0.0373134328358208
Kaparende,0.000760233918128655,0.03166666666666667,0.012682926829268294,0.00507399577167019,0.0149253731343283
Kacang lebui / iris,0.2023391812865497,0.01375,0.007317073170731707,0.1408033826638478,0.0
The coffe bean & tea leaf pure vanilla ice blended drink,0.23976608187134504,0.0125,0.04390243902439024,0.14799154334038056,0.4701492537313432
Dairy queen banana split,0.30409356725146197,0.007500000000000001,0.06829268292682927,0.1945031712473573,0.5373134328358209
Gembili,0.058479532163742694,0.0008333333333333334,0.005365853658536586,0.2769556025369979,0.2335820895522388
Baked lotus paste mooncake with two egg yolks,0.1304093567251462,0.003375,0.06726829268292682,0.04334038054968288,0.0
Cumi-cumi,0.043859649122807015,0.013416666666666669,0.0034146341463414634,0.00021141649048625794,0.0
Kunyit,0.000760233918128655,0.0575,0.04439024390243902,0.004228329809725159,0.0201492537313432
The coffe bean & tea leaf black forest ice blended drink,0.28654970760233917,0.01,0.04878048780487805,0.18816067653276958,0.5671641791044776
Coklat silverqueen almond,0.09941520467836258,0.0033333333333333335,0.05365853658536585,0.029598308668076112,0.0820895522388059
Daun gedi besar,0.0014035087719298245,0.04833333333333334,0.04878048780487805,0.00613107822410148,0.0052238805970149
Kopi hitam tanpa gula,0.0011695906432748538,0.00023333333333333336,0.00024390243902439024,0.00019027484143763212,0.0
Tumis keumamah,0.17543859649122806,0.012083333333333335,0.0975609756097561,0.03276955602536998,0.0
Regal Biskuit Marie,0.04093567251461988,0.0008333333333333334,0.00975609756097561,0.025369978858350954,0.0
Teh hijau daun kering,0.17543859649122806,0.023583333333333335,0.023414634146341463,0.11331923890063425,0.0
Susu ultra milk rasa coklat 200 ml,0.0935672514619883,0.005,0.01951219512195122,0.05073995771670191,0.0
Frisian flag putih (kental manis),0.08187134502923976,0.0008333333333333334,0.01951219512195122,0.048625792811839326,0.1417910447761194
Sedaap Kecap Manis,0.04093567251461988,0.0008333333333333334,0.0,0.03382663847780127,0.0970149253731343
Outback steackhouse slow roasted prime rib,0.40935672514619886,0.03833333333333334,0.2780487804878049,0.0,0.0
Es krim Diamond vanilla,0.06432748538011696,0.0016666666666666668,0.029268292682926828,0.025369978858350954,0.0671641791044776
Genjer,0.00023391812865497077,0.029166666666666667,0.037560975609756096,0.003594080338266385,0.0014925373134328
Taoge kacang kedelai,0.0005847953216374269,0.06333333333333334,0.03121951219512195,0.019027484143763214,0.0194029850746268
Renggi Goreng,0.2754385964912281,0.003916666666666667,0.10634146341463414,0.13551797040169133,0.0
Saus Char siu (chinese BBQ),0.03508771929824561,0.0,0.0,0.029598308668076112,0.0970149253731343
Daun kedongdong,0.0010526315789473684,0.04916666666666667,0.06536585365853659,0.007399577167019028,0.0022388059701492
Semur jengkol,0.1239766081871345,0.005,0.04878048780487805,0.06152219873150106,0.0
Chatime taro milk tea,0.23333333333333334,0.0016666666666666668,0.058536585365853655,0.14799154334038056,0.4067164179104477
Biokul natural set yogurt,0.04093567251461988,0.004166666666666667,0.004878048780487805,0.021141649048625793,0.0223880597014925
Kambose,0.09590643274853801,0.0025,0.011707317073170732,0.0689217758985201,0.0
Sarden ABC saus tomat,0.058479532163742694,0.01,0.00975609756097561,0.019027484143763214,0.0149253731343283
Parede baleh,0.0008771929824561404,0.07250000000000001,0.026829268292682926,0.022198731501057084,0.0186567164179104
Nasi gurih,0.11111111111111112,0.003916666666666667,0.036585365853658534,0.054968287526427066,0.0
You C100 Orange water,0.0935672514619883,0.0,0.0,0.08456659619450317,0.2985074626865671
Diamond Milk Susu UHT Full Cream,0.07017543859649122,0.005,0.029268292682926828,0.021141649048625793,0.0
Kacang tolo / tunggak,0.1935672514619883,0.02033333333333333,0.009268292682926829,0.11966173361522199,0.0
Keripik tempe abadi besar,0.32514619883040935,0.013166666666666669,0.18097560975609756,0.08414376321353065,0.0
Sunduk lawang,0.10584795321637427,0.0015833333333333333,0.006341463414634147,0.06849894291754757,0.0
Jengkol,0.0005263157894736842,0.16,0.19853658536585367,0.01141649048625793,0.0022388059701492
Ketan putih,0.00011695906432748539,0.13583333333333333,0.17414634146341465,0.0063424947145877385,0.0029850746268656
Susu Ultra Milk Rasa coklat 1000 ml,0.026315789473684213,0.006666666666666667,0.024390243902439025,0.06342494714587738,0.1791044776119403
Jagung kuning,0.0007017543859649122,0.29583333333333334,0.3595121951219512,0.01945031712473573,0.0291044776119402
Padamaran,0.1,0.0032500000000000003,0.04341463414634147,0.039746300211416494,0.0
Beras tumbuk merah,0.0005847953216374269,0.29333333333333333,0.37170731707317073,0.015433403805496829,0.0067164179104477
Karawila,0.014619883040935673,0.0019166666666666666,0.000975609756097561,0.007399577167019028,0.0
Ikan teri nasi,0.058479532163742694,0.027,0.15853658536585366,0.3044397463002114,0.0
Nutrisari Yuzu Orange,0.026315789473684213,0.0,0.0,0.021141649048625793,0.0671641791044776
Sate pusut,0.0016374269005847953,0.22833333333333336,0.06634146341463415,0.027272727272727275,0.1388059701492537
Kue bangen,0.2584795321637427,0.00275,0.07170731707317073,0.1568710359408034,0.0
Burger Carl's Jr the big carl,0.5380116959064327,0.03916666666666667,0.28292682926829266,0.11839323467230445,0.0895522388059701
Coklat manis batang,0.308187134502924,0.0016666666666666668,0.14536585365853658,0.13255813953488374,0.0
Moon tahu,0.07485380116959064,0.006666666666666667,0.04878048780487805,0.0027484143763213532,0.0
Bakwan,0.16374269005847952,0.006833333333333333,0.049756097560975605,0.0824524312896406,0.0
Roti boong,0.19941520467836257,0.004583333333333333,0.07902439024390244,0.09154334038054968,0.0
nestle honey star sereal,0.06432748538011696,0.0008333333333333334,0.004878048780487805,0.052854122621564484,0.0
Es krim Wall's oreo chocolate,0.08187134502923976,0.0016666666666666668,0.01951219512195122,0.04439746300211417,0.1119402985074626
Minyak hati hiu,0.5274853801169591,0.0,0.4878048780487805,0.0,0.0
Onde-onde,0.19649122807017544,0.0033333333333333335,0.04780487804878049,0.12241014799154334,0.0
Sarimi isi 2 ayam bawang,0.2982456140350877,0.010833333333333334,0.0975609756097561,0.14799154334038056,0.0223880597014925
Mie Kuah Gaga 100 Xtra Pedas  Jalapeno,0.07017543859649122,0.007500000000000001,0.06341463414634146,0.09090909090909091,0.0149253731343283
Kin bulgarian style yogurt strawberry,0.02046783625730994,0.0033333333333333335,0.01707317073170732,0.0613107822410148,0.2014925373134328
Lumai / leunca,0.00029239766081871346,0.03166666666666667,0.037073170731707315,0.0023255813953488376,0.0022388059701492
Keripik tempe abadi prima,0.3157894736842105,0.013916666666666667,0.16536585365853657,0.08879492600422834,0.0
Hokben Chicken karaage,0.19883040935672516,0.020833333333333336,0.1,0.03171247357293869,0.0
Kwaci,0.30116959064327486,0.025500000000000002,0.2053658536585366,0.029175475687103596,0.0
Sawo duren,0.03742690058479532,0.0008333333333333334,0.015121951219512195,0.016913319238900635,0.0
Subway Turkey breast sandwich,0.16374269005847952,0.015000000000000001,0.01707317073170732,0.09725158562367865,0.0522388059701492
Qtela Tempe,0.06432748538011696,0.0033333333333333335,0.03414634146341464,0.016913319238900635,0.0
Telur burung maleo,0.00046783625730994154,0.36333333333333334,0.001951219512195122,0.056025369978858354,0.2708955223880597
Marie salut cokelat,0.052631578947368425,0.0008333333333333334,0.01707317073170732,0.027484143763213533,0.044776119402985
Nabati HANSEL,0.04093567251461988,0.0016666666666666668,0.01951219512195122,0.014799154334038056,0.0373134328358208
Kacang panjang biji,0.20877192982456141,0.014416666666666668,0.007317073170731707,0.14503171247357294,0.0
Koro roay,0.20116959064327486,0.010416666666666668,0.01024390243902439,0.14672304439746303,0.0
Bolu peca,0.1152046783625731,0.00275,0.0224390243902439,0.07526427061310782,0.0
air putih / air mineral / air minum,0.0,0.0,0.0,0.0,0.0
Mr. Bread Roti tawar gandum,0.11637426900584795,0.005833333333333334,0.014634146341463414,0.07610993657505286,0.0149253731343283
Kacang hijau var. Siwalik,0.0021637426900584797,0.28250000000000003,0.31512195121951214,0.04397463002114165,0.0156716417910447
Ikan Lehoma,0.0006432748538011696,0.07500000000000001,0.0,0.04312896405919662,0.0067164179104477
Wingko babat,0.20760233918128657,0.002666666666666667,0.07365853658536585,0.10866807610993658,0.0
Permen frozz mint,0.0,0.0,0.0,0.0021141649048625794,0.0
Daun kecipir,0.0005847953216374269,0.043333333333333335,0.041463414634146344,0.010570824524312896,0.003731343283582
Frisian flag french vanilla low fat,0.06432748538011696,0.005833333333333334,0.012195121951219513,0.03382663847780127,0.1194029850746268
Cumi-cumi goreng,0.15497076023391812,0.03383333333333333,0.049268292682926824,0.0,0.0
Melinjo emping tipis goreng,0.28362573099415206,0.009583333333333334,0.11951219512195121,0.12494714587737844,0.0
Apem,0.00029239766081871346,0.12333333333333334,0.16536585365853657,0.004228329809725159,0.003731343283582
Beef teriyaki,0.08830409356725147,0.007166666666666667,0.015121951219512195,0.04714587737843552,0.0
Saori Saus Tiram,0.0029239766081871343,0.0,0.0,0.004228329809725159,0.0
Ketan hitam,0.0003508771929824561,0.13833333333333334,0.16780487804878047,0.008033826638477801,0.0074626865671641
Gete kuah asam,0.0022222222222222222,0.0625,0.029268292682926828,0.017336152219873148,0.0149253731343283
Duwet,0.00029239766081871346,0.06666666666666667,0.08878048780487804,0.0010570824524312897,0.0044776119402985
Mie Lemonilo ayam bawang,0.156140350877193,0.007500000000000001,0.01951219512195122,0.10359408033826639,0.0074626865671641
Bouiki ninahu nggaluku,0.0030994152046783627,0.07833333333333334,0.0526829268292683,0.01649048625792812,0.0164179104477611
Coklat pahit batang,0.35964912280701755,0.004583333333333333,0.2078048780487805,0.061733615221987316,0.0
Supermi ayam Bawang,0.07602339181286549,0.005833333333333334,0.07317073170731707,0.09725158562367865,0.0149253731343283
Coco pops,0.07017543859649122,0.0016666666666666668,0.0024390243902439024,0.054968287526427066,0.0895522388059701
Buah naga merah,0.00023391812865497077,0.05916666666666667,0.04439024390243902,0.003594080338266385,0.0231343283582089
Gulai keumamah,0.000760233918128655,0.09166666666666667,0.015609756097560976,0.012473572938689219,0.0611940298507462
Ampas tahu kukus,0.043859649122807015,0.0034166666666666664,0.01024390243902439,0.022621564482029597,0.0
Cold Stone Creamery chocolate Devotion,0.5087719298245614,0.010833333333333334,0.21951219512195122,0.22832980972515857,0.6791044776119403
Lepok / Ubi rumput,0.10584795321637427,0.0023333333333333335,0.005853658536585366,0.08414376321353065,0.0
Rajungan,0.0015789473684210528,0.06333333333333334,0.011707317073170732,0.02558139534883721,0.0149253731343283
Permen mentos peppermint,0.0029239766081871343,0.0,0.0,0.0021141649048625794,0.0
Pop mie kuah pedes dower,0.2105263157894737,0.005,0.07804878048780488,0.09725158562367865,0.0298507462686567
Ketimun madura,0.00023391812865497077,0.007500000000000001,0.009268292682926829,0.0010570824524312897,0.0007462686567164
Getuk goreng,0.2105263157894737,0.0010833333333333335,0.03121951219512195,0.15708245243128965,0.0
Laksa/Putu mayang,0.07076023391812866,0.0014166666666666668,0.016585365853658537,0.04460887949260043,0.0
Ultramilk law fat source of calcium,0.052631578947368425,0.005833333333333334,0.012195121951219513,0.023255813953488372,0.0
Kacang urei,0.20701754385964913,0.010666666666666668,0.00878048780487805,0.14651162790697675,0.0
Ganyong,0.0005263157894736842,0.06416666666666668,0.0897560975609756,0.0012684989429175475,0.0014925373134328
Keju,0.19064327485380117,0.019000000000000003,0.09902439024390244,0.027695560253699788,0.0
Bebek (itik),0.058479532163742694,0.0009166666666666668,0.07804878048780488,0.678646934460888,0.0
Sagu Lemak (Kue Sagon),0.26432748538011697,0.0023333333333333335,0.07219512195121952,0.16236786469344608,0.0
Buah kelenting,0.0007017543859649122,0.09166666666666667,0.10439024390243902,0.002959830866807611,0.0156716417910447
Masekat,0.21578947368421053,0.0017500000000000003,0.03414634146341464,0.15665961945031712,0.0
Bakpia,0.0009356725146198831,0.22666666666666668,0.2151219512195122,0.01839323467230444,0.05
Coklat susu batang,0.3304093567251462,0.007500000000000001,0.17073170731707318,0.11331923890063425,0.0
Es teh manis,0.052631578947368425,"1,67E+11",0.0,0.049556025369978864,0.0
Cap cai / capcay / cap cay,0.0005847953216374269,0.08083333333333334,0.02048780487804878,0.01226215644820296,0.0470149253731343
Keju cheddar,0.23625730994152047,0.019058333333333337,0.16248780487804879,0.00653276955602537,0.0
