Kategori,Label_Umur_Kondisi,Energi (kkal),Protein (g),Lemak (g),Lemak Omega 6 (g),Lemak Omega 3 (g),Karbohidrat (g),Serat (g),Natrium (mg),Air (ml),Is_Additional_Data,Group
Bayi/Anak,0-5 bulan,550,9,31.0,4.4,0.5,59,0,120,700,False,"Bayi/Anak
0-5 bulan"
Bayi/Anak,6-11 bulan,800,15,35.0,4.4,0.5,105,11,370,900,False,"Bayi/Anak
6-11 bulan"
Bayi/Anak,1-3 tahun,1350,20,45.0,7.0,0.7,215,19,800,1150,False,"Bayi/Anak
1-3 tahun"
Bayi/Anak,4-6 tahun,1400,25,50.0,10.0,0.9,220,20,900,1450,False,"Bayi/Anak
4-6 tahun"
Bayi/Anak,7-9 tahun,1650,40,55.0,10.0,0.9,250,23,1000,1650,False,"Bayi/Anak
7-9 tahun"
Laki-Laki,10-12 tahun,2000,50,65.0,12.0,1.2,300,28,1300,1850,False,"Laki-Laki
10-12 tahun"
Laki-Laki,13-15 tahun,2400,70,80.0,16.0,1.6,350,34,1500,2100,False,"Laki-Laki
13-15 tahun"
Laki-Laki,16-18 tahun,2650,75,85.0,16.0,1.6,400,37,1700,2300,False,"Laki-Laki
16-18 tahun"
Laki-Laki,19-29 tahun,2650,65,75.0,17.0,1.6,430,37,1500,2500,False,"Laki-Laki
19-29 tahun"
Laki-Laki,30-49 tahun,2550,65,70.0,17.0,1.6,415,36,1500,2500,False,"Laki-Laki
30-49 tahun"
Laki-Laki,50-64 tahun,2150,65,60.0,14.0,1.6,340,30,1300,2500,False,"Laki-Laki
50-64 tahun"
Laki-Laki,65-80 tahun,1800,64,50.0,14.0,1.6,275,25,1100,1800,False,"Laki-Laki
65-80 tahun"
Laki-Laki,80+ tahun,1600,64,45.0,14.0,1.6,235,22,1000,1600,False,"Laki-Laki
80+ tahun"
Perempuan,10-12 tahun,1900,55,65.0,10.0,1.0,280,27,1400,1850,False,"Perempuan
10-12 tahun"
Perempuan,13-15 tahun,2050,65,70.0,11.0,1.1,300,29,1500,2100,False,"Perempuan
13-15 tahun"
Perempuan,16-18 tahun,2100,65,70.0,11.0,1.1,300,29,1600,2150,False,"Perempuan
16-18 tahun"
Perempuan,19-29 tahun,2250,60,65.0,12.0,1.1,360,32,1500,2350,False,"Perempuan
19-29 tahun"
Perempuan,30-49 tahun,2150,60,60.0,12.0,1.1,340,30,1500,2350,False,"Perempuan
30-49 tahun"
Perempuan,50-64 tahun,1800,60,50.0,11.0,1.1,280,25,1400,2350,False,"Perempuan
50-64 tahun"
Perempuan,65-80 tahun,1550,58,45.0,11.0,1.1,230,22,1200,1550,False,"Perempuan
65-80 tahun"
Perempuan,80+ tahun,1400,58,40.0,11.0,1.1,200,20,1000,1400,False,"Perempuan
80+ tahun"
Hamil,01-13 minggu,2430,61,67.3,14.0,1.4,385,35,1500,2650,True,"Hamil
01-13 minggu"
Hamil,14-27 minggu,2550,70,67.3,14.0,1.4,400,36,1500,2650,True,"Hamil
14-27 minggu"
Hamil,28-41 minggu,2550,90,67.3,14.0,1.4,400,36,1500,2650,True,"Hamil
28-41 minggu"
Menyusui,6 bulan pertama,2580,80,67.2,14.0,1.3,405,37,1500,3150,True,"Menyusui
6 bulan pertama"
Menyusui,6 bulan kedua,2650,75,67.2,14.0,1.3,415,38,1500,3000,True,"Menyusui
6 bulan kedua"
